wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
готов	готовый	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
каждый	каждый	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
почти	почти	ADVB	None	None	None	None	None	None	None	None	None	None	None
каждый	каждый	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
нас	мы	NPRO	None	None	gent	None	None	None	plur	1per	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
готов	готовый	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
запись	запись	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
2-я	2-я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
конспект	конспект	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
балет	балет	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
квадратная	квадратный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
гармония	гармония	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
икс	икс	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
весна	весна	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
из-за	из-за	PREP	None	None	None	None	None	None	None	None	None	None	None
зелёной	зелёный	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
стены	стена	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
диких	дикий	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
невидимых	невидимый	ADJF	None	None	loct	None	None	None	plur	None	None	None	None
равнин	равнина	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
ветер	ветер	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
несёт	нести	VERB	None	impf	None	None	None	indc	sing	3per	pres	tran	None
жёлтую	жёлтый	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
медовую	медовый	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
пыль	пыль	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
каких-то	какой-то	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
цветов	цветок	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
этой	этот	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
сладкой	сладкий	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
пыли	пыль	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
сохнут	сохнуть	VERB	None	impf	None	None	None	indc	plur	3per	pres	intr	None
губы	губа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
ежеминутно	ежеминутно	ADVB	None	None	None	None	None	None	None	None	None	None	None
проводишь	проводить	VERB	None	perf	None	None	None	indc	sing	2per	futr	tran	None
по	по	PREP	None	None	None	None	None	None	None	None	None	None	None
ним	он	NPRO	None	None	ablt	masc	None	None	sing	3per	None	None	None
языком	язык	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
должно	должный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
сладкие	сладкое	NOUN	inan	None	nomn	neut	None	None	plur	None	None	None	None
губы	губа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
всех	весь	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
встречных	встречный	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
женщин	женщина	NOUN	anim	None	gent	femn	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мужчин	мужчина	NOUN	anim	None	gent	masc	None	None	plur	None	None	None	None
тоже	тоже	ADVB	None	None	None	None	None	None	None	None	None	None	None
конечно	конечно	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
несколько	несколько	ADVB	None	None	None	None	None	None	None	None	None	None	None
мешает	мешать	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
логически	логически	ADVB	None	None	None	None	None	None	None	None	None	None	None
мыслить	мыслить	INFN	None	impf	None	None	None	None	None	None	None	tran	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
зато	зато	CONJ	None	None	None	None	None	None	None	None	None	None	None
небо	небо	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
синее	синий	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
испорченное	испортить	PRTF	None	perf	nomn	neut	None	None	sing	None	past	tran	pssv
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
единым	единый	ADJF	None	None	ablt	masc	None	None	sing	None	None	None	None
облаком	облако	NOUN	inan	None	ablt	neut	None	None	sing	None	None	None	None
до	до	PREP	None	None	None	None	None	None	None	None	None	None	None
чего	что	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
были	быть	VERB	None	impf	None	None	None	indc	plur	None	past	intr	None
дики	дик	NOUN	anim	None	nomn	masc	None	None	plur	None	None	None	None
вкусы	вкус	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
древних	древние	NOUN	anim	None	gent	None	None	None	plur	None	None	None	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
их	они	NPRO	None	None	gent	None	None	None	plur	3per	None	None	None
поэтов	поэт	NOUN	anim	None	gent	masc	None	None	plur	None	None	None	None
могли	мочь	VERB	None	impf	None	None	None	indc	plur	None	past	intr	None
вдохновлять	вдохновлять	INFN	None	impf	None	None	None	None	None	None	None	tran	None
эти	этот	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
нелепые	нелепый	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
безалаберные	безалаберный	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
глупотолкущиеся	глупотолочься	PRTF	None	impf	nomn	None	None	None	plur	None	pres	intr	actv
кучи	куча	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
пара	пара	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
люблю	любить	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
уверен	уверенный	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
ошибусь	ошибиться	VERB	None	perf	None	None	None	indc	sing	1per	futr	intr	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
скажу	сказать	VERB	None	perf	None	None	None	indc	sing	1per	futr	tran	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
любим	любим	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
такое	такой	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
вот	вот	PRCL	None	None	None	None	None	None	None	None	None	None	None
стерильное	стерильный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
безукоризненное	безукоризненный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
небо	небо	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
такие	такой	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
дни	день	NOUN	inan	None	accs	masc	None	None	plur	None	None	None	None
весь	весь	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
мир	мир	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
отлит	отлить	PRTS	None	perf	None	masc	None	None	sing	None	past	None	pssv
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
того	тот	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
самого	самый	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
незыблемого	незыблемый	ADJF	None	None	gent	masc	None	None	sing	None	None	None	None
вечного	вечный	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
стёкла	стекло	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
зелёная	зелёный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
стена	стен	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
наши	наш	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
постройки	постройка	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
такие	такой	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
дни	день	NOUN	inan	None	accs	masc	None	None	plur	None	None	None	None
видишь	видеть	VERB	None	impf	None	None	None	indc	sing	2per	pres	tran	None
самую	самый	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
синюю	синий	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
глубь	глубь	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
вещей	вещий	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
какие-то	какой-то	ADJF	inan	None	accs	None	None	None	plur	None	None	None	None
неведомые	неведомый	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
дотоле	дотоле	ADVB	None	None	None	None	None	None	None	None	None	None	None
изумительные	изумительный	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
их	они	NPRO	None	None	gent	None	None	None	plur	3per	None	None	None
уравнения	уравнение	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
видишь	видеть	VERB	None	impf	None	None	None	indc	sing	2per	pres	tran	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
чём-нибудь	что-нибудь	NPRO	None	None	ablt	neut	None	None	sing	None	None	None	None
таком	такой	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
самом	самый	ADJF	None	None	loct	neut	None	None	sing	None	None	None	None
привычном	привычный	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
